SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,HEATP8   ,HTLS508  ,FURNAC8  ,BOILER8  ,PKGHT8   ,SLFCON8  ,HTPMPH8  ,STHW8    ,OTHTEQ8  ,FURNP8   ,BOILP8   ,PKGHP8   ,SLFCNP8  ,HTPHP8   ,STHWP8   ,OTHTP8   ,MAINHT8  ,PKGHPS8  ,SPLHPS8  ,RMHPS8   ,AIRHPT8  ,GRDHPT8  ,WTRHPT8  ,NWMNHT8  ,RDHTNF8  ,HWRDHT8  ,COOLP8   ,PKGCL8   ,RCAC8    ,ACWNWL8  ,HTPMPC8  ,CHWT8    ,CHILLR8  ,EVAPCL8  ,OTCLEQ8  ,PKGCP8   ,RCACP8   ,ACWNWP8  ,HTPCP8   ,CHWTP8   ,CHILP8   ,EVAPP8   ,OTCLP8   ,MAINCL8  ,PKGCPS8  ,SPLCPS8  ,RMCPS8   ,AIRCPT8  ,GRDCPT8  ,WTRCPT8  ,NWMNCL8  ,RDCLNF8  ,HWRDCL8  ,VAV8     ,ECN8     ,MAINT8   ,EMCS8    ,HDD658   ,CDD658   ,MFHTBTU8 ,MFCLBTU8 ,HTEUI,CLEUI,HTCLEUI,ADJWT8   
13500,4,7,13,1,1,2,2,2,2,100, ,1,2,2,2,1,2,2,93,   ,   ,   ,7,   ,   ,1,2,1,2,2,1,2, ,1,2,7,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,2,1,2,2,1,2, ,1,2,2,2,2,2,4931,1394,446737,2711,33.09162963,0.200814815,33.29244444,808.04
37000,5,2,5,1,1,2,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,1,1,1,5,1,2,1,2,2,2,2,2,90,   ,10,   ,   ,   ,   ,   ,1, , , , , , ,2,1,2,2,2,1,2,4680,1221,1164515,5737,31.47337838,0.155054054,31.62843243,813.44
310000,8,6,18,1,1,2,2,2,2,100, ,2,2,1,1,2,2,2,   ,   ,10,90,   ,   ,   ,4, , , , , , ,1,1,2,100,1,2,2,2,2,1,2,2,10,   ,   ,   ,   ,90,   ,   ,6, , , , , , ,2,1,2,1,2,1,2,3011,1419,1490137,1664031,4.806893548,5.367841935,10.17473548,124.18
12000,4,3,5,1,1,2,2,2,2,100, ,1,1,2,2,2,2,2,90,10,   ,   ,   ,   ,   ,1, , , , , , ,1,1,2,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   ,   ,  , , , , , , , , , ,2, ,2,2,5494,531,1030535,0,85.87791667,0,85.87791667,80.53
8000,3,6,12,1,1,2,2,2,2,100, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,1,2,2,1,2,2,2,1,2,100,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,1,2,2,1,2,2,2,1,2,2,2,1,2,3734,1051,35404,16381,4.4255,2.047625,6.473125,2314.83
15000,4,3,2,1,1,2,2,2,2,66, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,1,1,66,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , ,1,1,2,2,2,1,2,4640,1125,241943,49507,16.12953333,3.300466667,19.43,869.22
1500000,10,5,24,1,1,1, ,2,2,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , ,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   ,   ,  , , , , , , , , , , , , , ,2372,2588,5958588,31308173,3.972392,20.87211533,24.84450733,70.96
600000,9,6,18,1,1,1,2,2,2,75, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,2,1,3,75,2,2,2,2,2,1,2,2,   ,   ,   ,   ,   ,100,   ,   ,6, , , , , , ,2,1,3,1,1,1,1,1248,449,1378758,1285872,2.29793,2.14312,4.44105,135.43
260000,8,2,2,1,2,2,2,1,2,100, ,2,2,2,2,2,1,2,   ,   ,   ,   ,   ,100,   ,6, , , , , , , ,1,3,20,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,1,3,2,1,1,1,3844,282,34470647,64167,132.5794115,0.246796154,132.8262077,82.18
4000,2,2,2,1,1,2,2,2,2,100, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,2,1,2,2,1,2,2,1,1,100,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,2,1,2,2,1,2,2,1,1,2,2,1,2,5405,667,132667,2260,33.16675,0.565,33.73175,2463.5
28000,5,7,12,1,2,2,2,2,2,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , ,100,2,2,2,2,2,1,2,2,   ,   ,   ,   ,   ,100,   ,   ,6, , , , , , , ,2, ,1,1,1, ,723,3097,0,127543,0,4.555107143,4.555107143,392.2
3750,2,1,1,1,1,2,2,2,2,100, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , ,1,1,1,100,1,2,1,2,2,2,2,2,55,   ,45,   ,   ,   ,   ,   ,1, , , , , , ,1,1,1,2,2,1,2,5739,665,156865,1367,41.83066667,0.364533333,42.1952,508.07
5000,2,4,5,1,2,2,2,2,2,20, ,2,2,2,1,2,2,2,   ,   ,   ,100,   ,   ,   ,4, , , , , , ,1,1,3,25,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , ,1,1,3,2,2,1,1,1151,1248,161,4165,0.0322,0.833,0.8652,1567.79
2400,2,3,14,1,1,2,2,2,2,100, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , ,2,2, ,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,2, ,2,2,1, ,3022,1331,208874,97429,87.03083333,40.59541667,127.62625,1769.43
100001,7,7,2,1,2,2,1,2,2,100, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , , ,1,3,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , , ,1,3,1,1,1,1,3736,1071,581813,973625,5.818071819,9.736152638,15.55422446,222.04
250000,8,6,8,1,1,1,2,1,2,100, ,2,2,2,2,2,1,2,   ,   ,   ,   ,   ,100,   ,6, , , , , , , ,2, ,70,2,2,1,2,2,1,2,2,   ,   ,5,   ,   ,95,   ,   ,6, , , , , , ,1,2, ,1,2,1, ,6689,567,65668007,529859,262.672028,2.119436,264.791464,14.75
3250,2,7,2,1,1,2,2,2,2,100, ,1,2,2,1,2,2,2,100,   ,   ,2,   ,   ,   ,1, , , , , , , ,1,1,100,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , , ,1,1,2,1,1,2,8832,642,36993,9584,11.38246154,2.948923077,14.33138462,661.9
1000000,9,5,2,1,1,2,2,1,1,60, ,2,2,1,2,2,1,2,   ,   ,60,   ,   ,100,   ,6, , , , , , , ,1,3,50,1,2,2,2,2,1,2,2,2,   ,   ,   ,   ,98,   ,   ,6, , , , , , ,1,1,3,1,1,1,1,5171,802,26282724,3138284,26.282724,3.138284,29.421008,3.19
